STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ASSET_CODE,Asset type,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2020,,3885.959290249837,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2019,,3707.4305212090226,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2022,,-4.960377147560624,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2021,,-11.289326397158096,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,CZE,Czechia,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2020,,4.815431281031657,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,DNK,Denmark,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2021,,3474.0572064841726,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,DNK,Denmark,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2021,,-1.1551864677053603,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,DNK,Denmark,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2022,,0.011781895782347895,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,DNK,Denmark,A,Annual,GVAHRS,Gross value added per hour worked,L,Real estate activities,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2022,,3474.4665162836595,,A,Normal value,0,Units,2020,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),Productivity database,I,DNK,Denmark,A,Annual,GVAHRS,Gross value added per hour worked,F,Construction,XDC_H,National currency per hour,LR,Chain linked volume (rebased),N,Non transformed data,_Z,Not applicable,_Z,Not applicable,2023,,307.6820141107847,,A,Normal value,0,Units,2020,,2,Two
